Planck 2018 -- CMB, 67.4, 0.5
ACT 2020 -- CMB, 67.9, 2.5
SPTpol 2020 -- CMB, 71.3, 2.1
-
BOSS DR12 -- BAO+BBN, 67.81, 1.25
DES Year 3 -- 3x2pt+BAO+BBN, 67.6, 0.9
-
CCHP -- TRGB, 69.8, 1.9
Yuan et al. 2019 -- TRGB, 72.4, 2
-
H0LiCOW -- Time delays, 73.3, 1.8, 1.7
TDCOSMO + SLACS -- Time delays, 67.4, 3.2, 4.1
-
SH0ES 2021 -- Cepheids, 73.2, 1.3
Freedman et al. 2012 -- Cepheids, 74.3, 2.1
Breuval et al. 2020 -- Cepheids, 72.8, 2.7
-
Blakeslee et al. 2021 -- SBF, 73.3, 2.5
Khetan et al. 2021 -- SBF, 70.50, 4.1
-
Pesce et al. 2020 -- Megamaser, 73.9, 3.0